Retention Priority,Customer ID,Surname,Geography,Gender,Age,Tenure,Credit Score,Balance,Number of Products,Has Credit Card,Is Active Member,Estimated Salary,Churn Probability Percent,Risk Level,Predicted Churn,Actual Churn,Recommended Retention Action
376,15651664,Wilder,France,Female,61,1,615,104267.7,1,1,0,62845.64,87.45,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
377,15813412,Barlow,France,Female,55,3,721,44020.89,1,1,0,65864.4,87.38,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
378,15651264,Yobanna,Germany,Male,51,4,850,124425.99,1,0,0,118545.49,87.38,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
379,15577999,Sleeman,France,Female,62,1,850,124678.35,1,1,0,70916.0,87.3,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
380,15648455,Kung,Germany,Male,51,4,647,131156.76,1,1,0,29883.63,87.28,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
381,15803202,Onyekachi,France,Male,51,10,350,0.0,1,1,1,125823.79,87.28,High Risk,1,1,Needs-based product review and personalized loyalty offer
382,15644833,Duncan,France,Male,54,2,675,0.0,1,1,0,149583.67,87.23,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
383,15797165,Bergamaschi,France,Male,56,9,703,0.0,1,0,0,85547.33,87.13,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
384,15618774,White,France,Male,54,3,474,0.0,1,1,0,108409.17,87.12,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
385,15600975,Chiemenam,France,Female,54,4,556,150005.38,1,1,0,157015.5,87.05,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
386,15658982,Napolitani,Germany,Female,28,5,650,122034.4,3,0,1,146663.43,87.04,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
387,15641604,Frolova,France,Female,55,10,850,98488.08,1,1,0,155879.57,86.99,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
388,15594133,Erskine,Spain,Male,62,7,697,0.0,1,1,0,129188.18,86.99,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
389,15589715,Fulks,France,Female,66,5,584,0.0,1,1,0,49553.38,86.95,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
390,15697510,Tien,Spain,Female,52,7,707,0.0,1,1,0,109688.82,86.91,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
391,15651581,Lavrentyev,Germany,Male,68,6,758,112595.85,1,1,0,35865.44,86.72,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
392,15698732,K'ung,Germany,Male,51,3,789,104677.09,1,1,0,74265.38,86.64,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
393,15772781,Ball,France,Female,51,3,703,0.0,3,1,1,77294.56,86.55,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
394,15790113,Schofield,Germany,Female,71,6,609,113317.1,1,1,0,108258.22,86.47,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
395,15691119,Martin,Germany,Male,68,4,721,136525.99,1,0,0,175399.14,86.39,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
396,15589449,Frye,France,Female,56,3,815,0.0,3,1,1,94248.16,86.36,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
397,15772482,Iloerika,Germany,Male,28,3,829,132405.52,3,1,0,104889.2,86.34,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
398,15654577,Alexeeva,Germany,Male,54,5,549,92877.33,1,1,0,2619.64,86.28,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
399,15598751,Ingram,France,Female,43,6,556,0.0,3,0,0,125154.57,86.24,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
400,15605534,Turnbull,Germany,Female,51,4,644,95560.04,1,0,0,72628.84,86.22,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
401,15750545,Chidiebere,France,Male,44,5,629,0.0,4,0,0,117572.59,86.13,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
402,15743293,Waters,Germany,Female,35,1,651,163700.78,3,1,1,29583.48,86.1,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
403,15646764,Lorenzo,Germany,Female,58,3,617,119024.75,2,1,0,35199.24,86.1,High Risk,1,1,Relationship-manager outreach and digital engagement support
404,15658716,Banks,Germany,Female,37,5,667,92171.35,3,1,0,178106.34,86.09,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
405,15706458,Pan,Germany,Male,39,5,812,115730.71,3,1,1,185599.34,86.0,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
406,15750447,Ozoemena,France,Female,60,10,678,117738.81,1,1,0,147489.76,85.98,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
407,15611430,Abramowitz,France,Male,54,5,690,0.0,1,1,0,12847.61,85.9,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
408,15592816,Udokamma,Germany,Female,48,1,623,108076.33,1,1,0,118855.26,85.84,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
409,15792650,Watts,Spain,Male,36,0,382,0.0,1,1,1,179540.73,85.79,High Risk,1,1,Needs-based product review and personalized loyalty offer
410,15656683,Johnson,France,Male,52,1,551,0.0,1,0,0,63584.55,85.79,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
411,15608344,Dawson,Germany,Female,29,7,749,137059.05,3,1,0,102975.72,85.74,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
412,15601012,Abdullah,France,Female,60,3,802,92887.06,1,1,0,39473.63,85.65,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
413,15700801,Eipper,Germany,Male,42,6,850,84445.68,3,0,1,60021.34,85.64,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
414,15794941,Chibueze,Germany,Female,41,1,647,85906.65,3,1,0,189159.97,85.58,High Risk,1,0,"Review product suitability, fees, service quality, and product complexity"
415,15802593,Little,France,Female,49,7,504,0.0,3,0,1,87822.14,85.58,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
416,15754577,Boni,France,Female,51,8,556,61354.14,1,1,0,198810.65,85.54,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
417,15636454,Fu,France,Female,60,6,691,101070.69,1,1,0,177355.8,85.51,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
418,15732438,Cheng,France,Male,43,4,561,0.0,4,0,0,18522.91,85.47,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
419,15661473,Boni,Germany,Male,51,4,780,126725.25,1,1,0,195259.31,85.46,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
420,15658067,Walker,Germany,Female,48,3,636,120568.41,1,1,0,190160.04,85.45,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
421,15748660,Ellis,Germany,Female,49,1,561,102025.32,1,1,0,133051.64,85.42,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
422,15658057,Padovesi,Spain,Female,44,8,812,0.0,3,1,0,66926.83,85.42,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
423,15718465,Sadler,Germany,Male,51,3,671,96891.46,1,1,0,176403.33,85.4,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
424,15658969,Gray,France,Male,51,7,711,0.0,3,1,0,38409.79,85.32,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
425,15615296,Rice,France,Male,39,10,405,0.0,1,1,0,160810.85,85.31,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
426,15806318,Wright,Germany,Female,48,2,676,124442.38,1,1,0,15068.53,85.28,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
427,15571928,Fraser,France,Female,43,4,679,0.0,3,1,0,115136.51,85.28,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
428,15762716,Chigozie,Spain,Female,60,10,762,168920.75,1,1,0,31445.03,85.24,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
429,15734649,Martel,Spain,Female,55,0,779,133295.98,1,1,0,22832.71,85.23,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
430,15673877,Murray,France,Male,39,1,490,0.0,3,1,0,171060.01,85.15,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
431,15679410,Caldwell,France,Female,62,4,729,140549.4,1,1,0,30990.16,85.11,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
432,15697100,Wright,Germany,Female,48,6,772,108736.52,1,1,0,184564.67,85.05,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
433,15746515,Greece,France,Male,36,7,750,136492.92,3,1,1,26500.29,84.94,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
434,15618255,Fedorov,Germany,Female,56,6,642,103244.86,2,1,0,143049.72,84.87,High Risk,1,1,Relationship-manager outreach and digital engagement support
435,15607526,Lu,Germany,Male,50,1,638,102645.48,1,1,0,168359.98,84.85,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
436,15623314,Tucker,Germany,Female,59,3,506,190353.08,1,1,0,78365.75,84.84,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
437,15794056,Johnston,France,Female,46,2,668,0.0,3,1,0,89048.46,84.69,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
438,15640507,Li,Spain,Female,35,3,762,119349.69,3,1,1,47114.18,84.62,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
439,15707674,Marino,France,Female,58,2,515,131852.81,1,1,0,81436.68,84.61,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
440,15618936,MacDonald,France,Female,51,5,688,0.0,1,1,0,91624.11,84.6,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
441,15686099,Ruse,Spain,Male,61,1,563,82182.1,1,1,0,106826.92,84.51,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
442,15593976,Swanson,Germany,Female,31,5,578,102088.68,4,0,0,187866.21,84.48,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
443,15691817,Iloerika,Spain,Female,44,5,547,0.0,3,0,0,5459.07,84.47,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
444,15729201,Harewood,France,Male,55,9,682,0.0,1,1,0,153356.8,84.45,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
445,15614168,Alexander,Germany,Female,50,4,792,146710.76,1,1,0,16528.4,84.44,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
446,15708212,Lin,Spain,Female,54,7,648,118241.02,1,1,0,172586.89,84.42,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
447,15751491,Hsiao,Germany,Male,50,3,443,117206.3,1,1,0,42840.18,84.37,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
448,15592716,Clarke,France,Male,52,2,559,0.0,1,1,0,129013.59,84.34,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
449,15587233,Donoghue,France,Male,41,8,457,73700.12,3,1,1,185750.02,84.3,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
450,15793049,Atkins,Germany,Female,48,8,680,115115.38,1,1,0,139558.6,84.3,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
451,15686236,Trevisani,Germany,Female,47,1,525,118087.68,1,1,0,88120.78,84.19,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
452,15734202,Chidimma,Germany,Female,52,4,660,86891.84,1,1,0,90877.76,84.18,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
453,15727811,Ts'ui,Germany,Female,47,0,661,109493.62,1,0,0,188324.01,84.17,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
454,15676571,Bezrukova,France,Male,55,6,850,0.0,1,1,0,944.41,84.1,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
455,15671769,Zikoranachidimma,France,Female,71,4,624,170252.05,3,1,1,73679.59,84.1,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
456,15691513,Dawkins,France,Male,60,9,592,0.0,4,1,1,13614.01,84.1,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
457,15673020,Smith,France,Female,49,3,678,204510.94,1,0,1,738.88,83.91,High Risk,1,1,Needs-based product review and personalized loyalty offer
458,15676404,Kirillov,France,Female,50,1,672,0.0,1,1,0,12106.82,83.89,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
459,15724154,Manna,Germany,Female,49,4,625,128504.76,1,1,0,126812.63,83.87,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
460,15713483,Greeves,Spain,Male,52,2,793,0.0,1,1,0,159123.82,83.77,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
461,15657349,Carter,Germany,Female,50,8,803,98173.02,1,0,0,22457.25,83.76,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
462,15649150,Buddicom,France,Female,53,5,531,127642.44,1,1,0,141501.45,83.73,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
463,15804142,Tan,Spain,Female,57,3,670,175575.95,2,1,0,99061.75,83.71,High Risk,1,1,Relationship-manager outreach and digital engagement support
464,15814846,Ozerova,France,Male,52,3,691,0.0,1,1,0,175843.68,83.69,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
465,15738907,Tobenna,France,Female,60,6,798,96956.1,1,1,0,31907.44,83.68,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
466,15651823,Nkemjika,France,Female,60,6,590,147751.75,1,1,0,88206.04,83.67,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
467,15798844,Chijindum,France,Male,54,7,678,128914.97,1,0,0,191746.23,83.58,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
468,15588080,Giles,France,Male,54,6,675,0.0,1,1,0,110273.84,83.58,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
469,15718242,Wollstonecraft,Germany,Female,47,1,725,104887.43,1,0,0,86622.56,83.56,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
470,15783225,Cocci,France,Male,54,9,737,0.0,1,1,0,83470.4,83.53,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
471,15750731,Trevisani,Germany,Male,50,9,736,116309.01,1,1,0,185360.4,83.43,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
472,15806049,Lee,Germany,Female,49,5,714,140510.89,1,1,0,141914.94,83.4,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
473,15812888,Perreault,France,Male,41,3,447,0.0,4,1,1,197490.39,83.4,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
474,15631406,Munro,Germany,Male,50,5,459,109387.9,1,1,0,155721.15,83.35,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
475,15608381,Dean,Germany,Male,50,2,585,125845.66,1,1,0,9439.31,83.33,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
476,15700263,Ifeatu,France,Male,66,2,569,0.0,1,1,0,130784.2,83.31,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
477,15775192,Rounsevell,Germany,Female,48,4,732,102962.62,1,1,0,120852.85,83.3,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
478,15778368,Allan,Germany,Male,50,4,552,121175.56,1,1,0,117505.07,83.25,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
479,15591169,Hawes,Germany,Female,49,4,788,137455.99,1,1,0,184178.29,83.11,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
480,15597949,Gilbert,Germany,Female,47,5,768,104552.61,1,1,0,48137.08,83.1,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
481,15597896,Ozoemena,Germany,Male,30,0,365,127760.07,1,1,0,81537.85,83.05,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
482,15769917,Onyekachi,Germany,Female,34,1,673,127122.79,3,0,1,76703.1,82.98,High Risk,1,0,"Review product suitability, fees, service quality, and product complexity"
483,15613189,Browne,France,Female,52,2,774,56580.93,1,1,0,113266.28,82.98,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
484,15574830,Townsley,Germany,Male,58,2,633,128137.42,2,1,0,147635.33,82.96,High Risk,1,1,Relationship-manager outreach and digital engagement support
485,15629677,Distefano,Spain,Female,39,2,687,0.0,3,0,0,188150.6,82.89,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
486,15668575,Hao,Spain,Female,26,8,626,148610.41,3,0,1,104502.02,82.88,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
487,15705009,Cartwright,France,Female,56,8,649,156974.26,1,1,0,89405.26,82.88,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
488,15622897,Sharpe,France,Female,46,4,646,0.0,3,1,0,93251.42,82.82,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
489,15684196,Aitken,France,Female,55,2,627,159441.27,1,1,0,100686.11,82.8,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
490,15719991,Korovina,Spain,Female,52,1,727,154733.97,1,1,0,80259.67,82.79,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
491,15735878,Law,Germany,Female,47,10,850,134381.52,1,0,0,26812.89,82.74,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
492,15789582,Macleod,France,Male,55,9,587,0.0,1,1,0,64593.07,82.71,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
493,15647842,Cunningham,Germany,Female,48,8,601,120782.7,1,1,0,63940.68,82.62,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
494,15605916,Uvarova,France,Female,50,3,659,0.0,1,1,0,183399.12,82.59,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
495,15724321,Baresi,Germany,Female,47,9,516,128298.74,1,0,0,149614.17,82.54,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
496,15763256,Sheppard,Germany,Female,64,8,661,128751.65,2,1,0,189398.18,82.52,High Risk,1,1,Relationship-manager outreach and digital engagement support
497,15757952,Teng,France,Male,44,2,651,0.0,3,1,0,102530.35,82.51,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
498,15777553,Hanson,France,Female,56,9,659,123785.24,1,1,0,99504.03,82.48,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
499,15727353,Ch'ang,France,Female,64,7,650,142028.36,1,1,0,32275.09,82.39,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
500,15789955,Hu,Germany,Male,56,1,698,112414.81,2,0,0,93982.02,82.38,High Risk,1,1,Relationship-manager outreach and digital engagement support
501,15775306,Ni,Germany,Male,28,8,421,122384.22,3,1,1,89017.38,82.37,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
502,15792228,Onwumelu,France,Male,60,0,748,152335.7,1,1,0,126743.33,82.33,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
503,15588944,Maughan,France,Female,63,1,456,165350.61,2,0,0,140758.07,82.32,High Risk,1,1,Relationship-manager outreach and digital engagement support
504,15677921,Bobrov,Germany,Male,60,9,720,115920.62,2,0,0,157552.08,82.3,High Risk,1,1,Relationship-manager outreach and digital engagement support
505,15652030,De Bernales,Germany,Male,49,2,637,108204.52,1,1,0,169037.84,82.24,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
506,15649121,Pinto,France,Male,52,3,665,0.0,1,1,0,116137.01,82.23,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
507,15812198,Chen,Germany,Male,48,1,543,100900.5,1,0,0,33310.72,82.22,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
508,15623944,T'ien,Spain,Female,66,4,511,0.0,1,1,0,1643.11,82.15,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
509,15593128,Vinogradoff,France,Female,56,10,608,129255.2,2,1,0,142492.04,82.14,High Risk,1,1,Relationship-manager outreach and digital engagement support
510,15603851,Galkin,France,Male,32,7,704,127785.17,4,0,0,184464.7,82.11,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
511,15771409,McGregor,France,Male,58,7,586,151933.63,1,1,0,162960.05,82.09,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
512,15594408,Chia,Spain,Female,48,2,584,213146.2,1,1,0,75161.25,81.98,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
513,15732430,H?,Spain,Female,54,4,850,120952.74,1,1,0,66963.15,81.89,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
514,15649033,Echezonachukwu,Germany,Female,55,7,603,127723.25,2,1,0,139469.11,81.83,High Risk,1,1,Relationship-manager outreach and digital engagement support
515,15721658,Fleming,Spain,Female,56,2,672,209767.31,2,1,1,150694.42,81.82,High Risk,1,1,Personalized retention call and customer-service review
516,15680706,Balashov,Germany,Male,48,4,537,131834.8,1,1,0,166476.95,81.72,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
517,15757306,Miller,Spain,Male,49,3,738,0.0,3,1,1,65066.48,81.66,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
518,15810593,Forbes,France,Male,51,4,568,0.0,3,1,1,66586.56,81.65,High Risk,1,0,"Review product suitability, fees, service quality, and product complexity"
519,15745250,Simpson,France,Male,58,8,850,156652.13,1,0,0,25899.21,81.62,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
520,15730044,Greco,Germany,Female,42,6,809,64497.94,3,0,1,182436.81,81.59,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
521,15766044,Cameron,Germany,Male,49,4,642,120688.61,1,1,0,24770.22,81.56,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
522,15600934,Randell,France,Female,52,7,758,125095.94,1,1,0,171189.83,81.56,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
523,15571778,Trentini,France,Female,55,10,817,117561.49,1,1,0,95941.55,81.55,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
524,15566312,Jolly,Spain,Female,42,5,660,0.0,3,1,1,189016.24,81.53,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
525,15720637,Bell,Germany,Female,46,10,710,120530.34,1,1,0,166586.99,81.49,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
526,15619608,Ojiofor,Germany,Female,50,10,454,92895.56,1,1,0,154344.0,81.46,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
527,15787318,Holmwood,Germany,Female,47,6,537,103163.35,1,1,0,16259.64,81.44,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
528,15813067,Williams,Germany,Female,45,3,432,110219.14,1,1,0,43046.7,81.42,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
529,15798975,Doherty,Germany,Male,48,4,606,132403.56,1,0,0,36091.91,81.33,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
530,15731555,Ross-Watt,Germany,Female,45,9,595,106000.12,1,0,0,191448.96,81.25,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
531,15589572,Otutodilichukwu,Spain,Female,61,4,785,129855.72,2,1,0,170214.82,81.24,High Risk,1,1,Relationship-manager outreach and digital engagement support
532,15689781,Ts'ai,France,Female,49,0,826,0.0,1,0,0,178709.98,81.13,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
533,15693864,Iheanacho,Germany,Female,49,5,567,134956.02,1,1,0,93953.84,81.06,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
534,15773276,Townsend,Spain,Male,63,4,633,114552.6,1,1,0,73856.28,81.05,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
535,15745533,Sargent,France,Female,63,1,799,110314.21,2,1,0,37464.0,81.04,High Risk,1,1,Relationship-manager outreach and digital engagement support
536,15601811,Caldwell,France,Female,53,10,668,110240.04,1,0,0,183980.56,81.01,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
537,15727197,Pinto,France,Female,52,9,576,170228.59,2,0,0,148477.57,81.01,High Risk,1,1,Relationship-manager outreach and digital engagement support
538,15603565,Mackenzie,Spain,Female,56,5,603,90778.76,2,1,0,162223.67,80.89,High Risk,1,1,Relationship-manager outreach and digital engagement support
539,15683124,Evans,France,Male,53,6,713,115029.4,1,0,0,191521.32,80.89,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
540,15791102,Mai,Germany,Male,41,9,549,95020.8,3,1,1,131710.59,80.87,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
541,15768600,Harris,Germany,Male,50,9,805,130023.38,1,1,0,62989.82,80.86,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
542,15690829,Sandefur,Germany,Male,49,3,430,137115.16,1,1,0,146516.86,80.86,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
543,15642530,Coates,Germany,Female,47,10,706,144090.42,1,1,0,140938.95,80.82,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
544,15751455,Boyle,France,Female,48,5,469,0.0,1,1,0,160529.71,80.8,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
545,15612095,Calabrese,France,Female,48,9,751,0.0,1,1,0,137508.42,80.69,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
546,15707473,Summers,Germany,Female,48,6,850,111962.99,1,1,0,111755.8,80.65,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
547,15635141,Miller,Germany,Male,59,8,598,118210.42,2,0,0,60192.14,80.63,High Risk,1,1,Relationship-manager outreach and digital engagement support
548,15713440,Barese,Germany,Female,21,1,519,151701.45,3,1,1,170138.68,80.63,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
549,15689328,Harrison,Germany,Male,48,9,705,114169.16,1,0,0,173273.2,80.56,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
550,15759618,Alexeeva,France,Female,48,9,535,0.0,1,1,0,149892.79,80.52,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
551,15635435,White,France,Female,54,9,648,120633.42,1,0,0,5924.38,80.52,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
552,15585367,Diribe,Germany,Female,46,4,555,120392.99,1,1,0,177719.88,80.44,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
553,15633233,McFarland,France,Male,56,1,500,100374.58,1,1,0,118490.8,80.43,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
554,15648794,Giordano,Spain,Male,57,4,836,101247.06,1,1,0,37141.62,80.41,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
555,15715622,To Rot,France,Female,57,3,583,238387.56,1,0,1,147964.99,80.31,High Risk,1,1,Needs-based product review and personalized loyalty offer
556,15713975,Gibson,Germany,Female,47,10,565,139756.12,1,1,0,165849.49,80.15,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
557,15690007,Ts'ui,Germany,Female,58,9,434,125801.03,2,1,0,60891.8,80.08,High Risk,1,1,Relationship-manager outreach and digital engagement support
558,15694556,Nkemakolam,France,Male,60,2,684,116563.58,1,1,0,120257.7,80.06,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
559,15655410,Hinton,Germany,Male,49,1,768,133384.66,1,1,0,102397.22,80.02,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
560,15642345,Y?,Germany,Female,49,4,714,93059.34,1,1,0,7571.51,79.98,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
561,15683053,Reyna,Spain,Female,48,2,809,0.0,1,1,0,160976.85,79.97,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
562,15699523,Chu,Germany,Female,55,4,499,126817.65,2,1,0,123269.71,79.96,High Risk,1,0,Relationship-manager outreach and digital engagement support
563,15618239,Neumann,France,Female,48,0,530,0.0,1,1,0,85081.09,79.88,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
564,15647385,Ch'iu,Spain,Male,56,4,579,99340.83,1,0,0,4523.74,79.87,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
565,15633930,Yobachukwu,Spain,Female,56,6,648,157559.59,2,1,0,140991.23,79.84,High Risk,1,1,Relationship-manager outreach and digital engagement support
566,15704987,Lu,France,Female,52,8,649,49113.75,1,1,0,41858.43,79.8,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
567,15734524,Wang,France,Male,51,3,653,0.0,1,1,0,170426.65,79.7,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
